Sample-#, CA-V, CA-I, CB-V, CB-I 
0.00046, 0.500325381756, 9.43284388632, 3.00515556335, -0.434202665929
0.00047, 0.500247240067, 9.53422486782, 2.99204444885, -0.481071212562
0.00048, 0.50040346384, 9.53422486782, 2.97901153564, -0.504505471326
0.00049, 0.500325381756, 9.58881527185, 2.96613454819, -0.582619744819
0.0005, 0.500325381756, 9.60441213101, 2.95333576202, -0.356088450644
0.00051, 0.500247240067, 9.47183649987, 2.94045901299, -0.410768407164
0.00052, 0.500325381756, 9.5264269039, 2.92781615257, -0.473259802675
0.00053, 0.500325381756, 9.56541951746, 2.91517353058, -0.426391256042
0.00054, 0.500325381756, 9.49523225427, 2.90268683434, -0.465448363684
0.00055, 0.50040346384, 9.54202376306, 2.89012217522, -0.449825514806
0.00056, 0.500325381756, 9.54202376306, 2.87771344185, -0.426391256042
0.00057, 0.500325381756, 9.49523225427, 2.86530470848, -0.465448363684
0.00058, 0.500325381756, 9.49523225427, 2.85313034058, -0.520128349308
0.00059, 0.50040346384, 9.44064185023, 2.84095573425, -0.434202665929
0.0006, 0.500325381756, 9.49523225427, 2.82878136635, -0.457636953797
0.00061, 0.500247240067, 9.5264269039, 2.81668496132, -0.465448363684
0.00062, 0.50040346384, 9.62000992149, 2.80466651917, -0.496694061439
0.00063, 0.500325381756, 9.51082911342, 2.79264807701, -0.44201410492
0.00064, 0.500247240067, 9.55762062222, 2.7808637619, -0.473259802675
0.00065, 0.500247240067, 9.5732184127, 2.76907944679, -0.488882651553
0.00066, 0.500325381756, 9.46403760463, 2.75737309456, -0.457636953797
0.00067, 0.500325381756, 9.49523225427, 2.74566698074, -0.465448363684
0.00068, 0.500325381756, 9.44844074547, 2.7340388298, -0.465448363684
0.00069, 0.50040346384, 9.45623964071, 2.72248864174, -0.434202665929
0.0007, 0.500247240067, 9.53422486782, 2.71109461784, -0.637299672235
0.00071, 0.500247240067, 9.51082911342, 2.69962239265, -0.473259802675
0.00072, 0.50040346384, 9.65120457113, 2.68822836876, -0.504505471326
0.00073, 0.500325381756, 9.42504499108, 2.67699027061, -0.496694061439
0.00074, 0.500325381756, 9.40164923668, 2.66567420959, -0.434202665929
0.00075, 0.500247240067, 9.50303114951, 2.65443634987, -0.481071212562
0.00076, 0.500325381756, 9.5732184127, 2.64343237877, -0.527939759195
0.00077, 0.500169098377, 9.5264269039, 2.63235044479, -0.363899860531
0.00078, 0.500247240067, 9.58881527185, 2.62126851082, -0.55918545695
0.00079, 0.500325381756, 9.5264269039, 2.61049890518, -0.527939759195
0.0008, 0.500325381756, 9.42504499108, 2.59957289696, -0.582619744819
0.00081, 0.500247240067, 9.60441213101, 2.58880329132, -0.481071212562
0.00082, 0.50040346384, 9.5732184127, 2.57803344727, -0.543562578969
0.00083, 0.500325381756, 9.63560678065, 2.5673418045, -0.512316939421
0.00084, 0.500325381756, 9.58101637661, 2.55672812462, -0.371711299522
0.00085, 0.500325381756, 9.47183649987, 2.54611444473, -0.512316939421
0.00086, 0.500325381756, 9.44844074547, 2.53573489189, -0.418579817051
0.00087, 0.500325381756, 9.5264269039, 2.52512121201, -0.582619744819
0.00088, 0.500247240067, 9.44844074547, 2.51466369629, -0.520128349308
0.00089, 0.50040346384, 9.51082911342, 2.50444030762, -0.488882651553
0.0009, 0.500325381756, 9.61221102625, 2.49406075478, -0.449825514806
0.00091, 0.500247240067, 9.58881527185, 2.48383712769, -0.457636953797
0.00092, 0.500325381756, 9.58881527185, 2.47369170189, -0.340465601766
0.00093, 0.500325381756, 9.43284388632, 2.46354627609, -0.488882651553
0.00094, 0.500247240067, 9.51862800866, 2.45347905159, -0.520128349308
0.00095, 0.500247240067, 9.53422486782, 2.44341158867, -0.488882651553
0.00096, 0.500325381756, 9.59661416709, 2.43357849121, -0.410768407164
0.00097, 0.500247240067, 9.61221102625, 2.42351102829, -0.55918545695
0.00098, 0.50048160553, 9.58881527185, 2.41375589371, -0.426391256042
0.00099, 0.500325381756, 9.59661416709, 2.40392255783, -0.426391256042
0.001, 0.500247240067, 9.55762062222, 2.39416742325, -0.418579817051
0.00101, 0.500247240067, 9.5732184127, 2.38449025154, -0.402956997277
0.00102, 0.500325381756, 9.69799607992, 2.37473487854, -0.457636953797
0.00103, 0.500325381756, 9.64340567589, 2.365213871, -0.402956997277
0.00104, 0.500247240067, 9.59661416709, 2.35561466217, -0.449825514806
0.00105, 0.500247240067, 9.65120457113, 2.34609365463, -0.356088450644
0.00106, 0.500247240067, 9.44064185023, 2.33672857285, -0.504505471326
0.00107, 0.500247240067, 9.49523225427, 2.32728552818, -0.535751169082
0.00108, 0.500247240067, 9.45623964071, 2.31792068481, -0.488882651553
0.00109, 0.500247240067, 9.55762062222, 2.3086335659, -0.426391256042
0.0011, 0.500247240067, 9.55762062222, 2.29934668541, -0.395145558286
0.00111, 0.500247240067, 9.58101637661, 2.29013776779, -0.426391256042
0.00112, 0.50048160553, 9.56541951746, 2.28100705147, -0.410768407164
0.00113, 0.500325381756, 9.58101637661, 2.27187609673, -0.535751169082
